STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190770,BOSTON MA US,19480609 04:00,1.78, , 
COOP:190770,BOSTON MA US,19480609 15:00,0.25, , 
COOP:190770,BOSTON MA US,19480609 17:00,0.25, , 
COOP:190770,BOSTON MA US,19480611 22:00,8.13, , 
COOP:190770,BOSTON MA US,19480613 03:00,1.27, , 
COOP:190770,BOSTON MA US,19480613 04:00,1.52, , 
COOP:190770,BOSTON MA US,19480613 05:00,1.27, , 
COOP:190770,BOSTON MA US,19480613 06:00,1.02, , 
COOP:190770,BOSTON MA US,19480613 07:00,0.51, , 
COOP:190770,BOSTON MA US,19480613 08:00,0.51, , 
COOP:190770,BOSTON MA US,19480613 09:00,4.57, , 
COOP:190770,BOSTON MA US,19480613 10:00,1.52, , 
COOP:190770,BOSTON MA US,19480613 11:00,1.78, , 
COOP:190770,BOSTON MA US,19480613 12:00,1.02, , 
COOP:190770,BOSTON MA US,19480613 13:00,0.76, , 
COOP:190770,BOSTON MA US,19480613 20:00,0.25, , 
COOP:190770,BOSTON MA US,19480619 07:00,5.84, , 
COOP:190770,BOSTON MA US,19480619 08:00,6.35, , 
COOP:190770,BOSTON MA US,19480619 09:00,4.57, , 
COOP:190770,BOSTON MA US,19480619 10:00,0.76, , 
COOP:190770,BOSTON MA US,19480619 11:00,0.51, , 
COOP:190770,BOSTON MA US,19480619 12:00,0.76, , 
COOP:190770,BOSTON MA US,19480623 13:00,0.25, , 
COOP:190770,BOSTON MA US,19480623 14:00,0.51, , 
COOP:190770,BOSTON MA US,19480623 15:00,0.25, , 
COOP:190770,BOSTON MA US,19480623 16:00,2.79, , 
COOP:190770,BOSTON MA US,19480623 17:00,1.78, , 
COOP:190770,BOSTON MA US,19480623 18:00,1.78, , 
COOP:190770,BOSTON MA US,19480623 19:00,4.06, , 
COOP:190770,BOSTON MA US,19480623 20:00,1.27, , 
COOP:190770,BOSTON MA US,19480623 21:00,0.25, , 
COOP:190770,BOSTON MA US,19480624 03:00,1.02, , 
COOP:190770,BOSTON MA US,19480624 04:00,6.6, , 
COOP:190770,BOSTON MA US,19480624 19:00,1.27, , 
COOP:190770,BOSTON MA US,19480624 20:00,0.76, , 
COOP:190770,BOSTON MA US,19480624 21:00,0.25, , 
COOP:190770,BOSTON MA US,19480625 03:00,0.76, , 
COOP:190770,BOSTON MA US,19480628 04:00,2.03, , 
COOP:190770,BOSTON MA US,19480628 20:00,1.27, , 
COOP:190770,BOSTON MA US,19480630 19:00,0.25, , 
COOP:190770,BOSTON MA US,19480701 01:00,0,g, 
COOP:190770,BOSTON MA US,19480701 08:00,0.25, , 
COOP:190770,BOSTON MA US,19480701 09:00,0.76, , 
COOP:190770,BOSTON MA US,19480701 20:00,3.05, , 
COOP:190770,BOSTON MA US,19480705 09:00,0.51, , 
COOP:190770,BOSTON MA US,19480705 17:00,0.51, , 
COOP:190770,BOSTON MA US,19480705 19:00,4.06, , 
COOP:190770,BOSTON MA US,19480705 20:00,4.32, , 
COOP:190770,BOSTON MA US,19480705 21:00,0.76, , 
COOP:190770,BOSTON MA US,19480705 22:00,4.83, , 
COOP:190770,BOSTON MA US,19480705 23:00,5.59, , 
COOP:190770,BOSTON MA US,19480706 00:00,1.27, , 
COOP:190770,BOSTON MA US,19480706 01:00,2.29, , 
COOP:190770,BOSTON MA US,19480706 02:00,1.78, , 
COOP:190770,BOSTON MA US,19480706 03:00,1.27, , 
COOP:190770,BOSTON MA US,19480706 04:00,0.25, , 
COOP:190770,BOSTON MA US,19480706 05:00,0.25, , 
COOP:190770,BOSTON MA US,19480706 13:00,0.25, , 
COOP:190770,BOSTON MA US,19480706 17:00,9.91, , 
COOP:190770,BOSTON MA US,19480706 18:00,2.03, , 
COOP:190770,BOSTON MA US,19480707 06:00,0.25, , 
